sets,hand_size,deals,hand_type,count
3,21,16,ascending,1
0,12,7,ascending,1540982610
3,18,16,ascending,2492958
8,18,22,ascending,1652962
5,15,19,ascending,305335376
8,18,9,ascending,1582739
2,18,5,ascending,594842
1,18,13,descending,32
14,12,19,ascending,226
5,15,17,ascending,304939236
7,18,18,ascending,3538724
13,18,11,ascending,369
0,15,1,ascending,11787211
1,15,16,descending,6309533
3,12,7,descending,151246522
7,18,21,ascending,3554152
3,12,11,ascending,7628405134
11,15,4,ascending,1933
5,18,8,descending,143
6,18,8,descending,54
6,12,6,descending,109627
0,12,18,ascending,1579470961
2,18,15,ascending,687660
3,12,12,descending,152334696
5,18,19,descending,200
2,15,6,descending,7648447
4,21,23,ascending,5
9,12,19,ascending,1270045
7,15,17,descending,13156
4,15,2,ascending,396315784
13,15,10,ascending,5
5,12,8,descending,2541547
6,21,18,ascending,137
6,18,23,ascending,5636704
2,12,17,descending,490262051
6,18,4,ascending,4793914
6,15,8,descending,121803
4,21,19,ascending,1
2,18,21,ascending,704992
3,18,9,ascending,2321344
10,21,7,ascending,77
6,18,18,descending,67
11,21,17,ascending,34
8,15,4,ascending,6012288
12,15,17,ascending,2
11,12,13,ascending,18918
4,18,2,ascending,2240949
2,15,12,ascending,441285400
0,15,12,ascending,23868304
10,18,9,ascending,140456
5,18,3,ascending,4601196
12,15,18,ascending,1
6,15,19,descending,125652
4,12,3,descending,24364808
1,12,3,ascending,5762077043
7,12,3,ascending,73403995
7,18,10,ascending,3402569
9,12,15,ascending,1282644
8,21,22,ascending,259
4,15,15,descending,2661825
2,15,18,ascending,449091174
2,15,17,descending,8372526
5,18,19,ascending,6306319
3,18,22,ascending,2540249
1,15,9,descending,5928216
3,12,0,ascending,8806970307
9,15,18,ascending,721815
9,12,3,ascending,1472332
6,15,16,descending,125511
2,18,17,descending,152
1,18,9,descending,26
0,15,23,ascending,23265249
3,15,20,ascending,613798682
6,12,3,descending,99340
6,15,15,descending,125191
8,12,3,ascending,9538474
9,18,21,ascending,567400
2,15,14,descending,8254954
3,15,6,ascending,587011197
9,18,5,ascending,537295
13,15,12,ascending,2
11,21,23,ascending,42
8,15,14,ascending,6064307
14,12,0,ascending,1397
3,12,22,descending,153636977
15,18,3,ascending,4
9,18,2,ascending,259482
12,18,6,ascending,3717
8,15,9,ascending,6111354
5,15,3,ascending,274108326
9,15,19,descending,25
7,15,2,ascending,25128588
10,12,0,ascending,957160
2,12,13,descending,487023101
14,18,22,ascending,15
0,18,19,ascending,997
6,12,9,ascending,397220659
9,18,22,ascending,567780
1,18,5,descending,19
11,15,15,ascending,1922
10,15,4,ascending,47956
5,21,22,ascending,36
5,18,11,descending,189
6,21,16,ascending,133
1,15,21,ascending,180215140
2,18,7,ascending,616337
5,12,1,ascending,1951939085
7,18,9,ascending,3380765
8,15,6,descending,807
8,21,6,ascending,228
11,12,10,ascending,19514
13,12,6,ascending,2369
0,18,3,ascending,688
4,15,19,ascending,526426668
5,18,13,ascending,6135835
4,12,12,descending,26842828
1,12,22,descending,906016863
6,12,19,descending,107483
5,18,12,ascending,6086592
8,15,18,ascending,6060794
12,21,20,ascending,7
7,18,19,descending,17
12,21,14,ascending,9
0,12,19,ascending,1580272400
4,15,2,descending,1217696
8,15,11,descending,736
6,12,23,ascending,353551381
0,18,4,descending,3
12,21,9,ascending,11
4,12,16,ascending,4197784842
3,12,15,ascending,7606285734
3,18,10,ascending,2350194
7,12,6,descending,1282
8,12,12,ascending,8601576
0,12,13,ascending,1570263769
1,12,19,descending,904381693
2,18,22,descending,157
4,15,7,ascending,511895794
2,15,16,descending,8343991
1,18,19,ascending,60282
3,15,7,descending,5675031
6,12,18,descending,107936
14,18,5,ascending,22
9,21,18,ascending,185
2,18,4,descending,81
15,18,9,ascending,3
2,15,8,descending,7806835
1,12,5,ascending,5781625767
8,18,13,descending,1
7,18,17,descending,18
10,18,18,ascending,142921
5,12,6,descending,2549786
4,18,14,ascending,4878285
7,15,17,ascending,33047301
10,12,6,ascending,308053
10,12,14,ascending,283809
8,21,12,ascending,265
11,21,16,ascending,29
0,18,23,ascending,15575
10,21,20,ascending,89
5,15,8,descending,708100
8,15,10,ascending,6097910
7,15,6,descending,12680
2,15,23,ascending,454349712
11,18,5,ascending,26666
1,18,23,ascending,28190
8,21,18,ascending,251
8,18,6,descending,3
6,18,2,ascending,2522043
10,15,20,ascending,47126
7,18,2,ascending,1610952
4,18,10,ascending,4689722
8,18,4,ascending,1458232
12,21,16,ascending,10
1,18,19,descending,27
6,18,16,descending,69
10,18,10,ascending,140841
0,18,20,descending,3
9,21,4,ascending,132
0,12,1,ascending,1386980171
7,15,12,ascending,33025108
9,18,10,ascending,550407
1,15,14,descending,6235313
7,18,16,descending,17
14,12,11,ascending,268
10,15,21,ascending,47110
4,12,13,ascending,4212571122
6,18,7,descending,46
15,18,14,ascending,3
9,15,6,ascending,744572
2,18,22,ascending,706463
10,18,7,ascending,141290
4,12,6,ascending,4287054248
1,12,12,descending,891442863
4,12,17,descending,26914231
4,18,13,descending,290
