sets,hand_size,deals,hand_type,count
1,18,11,descending,4
3,15,18,ascending,203603541
11,18,21,ascending,9139
11,21,15,ascending,12
12,21,16,ascending,4
5,12,14,ascending,521824396
7,12,13,ascending,22266727
4,12,7,descending,8923518
0,18,17,ascending,359
1,12,3,descending,265375060
3,15,1,ascending,94312463
13,18,11,ascending,116
9,15,14,ascending,240380
5,12,4,descending,822078
4,15,13,descending,876972
0,15,8,descending,489118
7,18,5,ascending,1082788
9,12,20,ascending,421760
1,18,14,ascending,19271
9,12,22,ascending,422051
10,15,19,ascending,15713
6,15,8,descending,40207
1,15,5,ascending,55279840
3,12,8,descending,50319440
13,12,10,ascending,731
3,15,7,ascending,196003734
1,15,22,ascending,59947301
8,15,9,descending,233
12,15,9,ascending,2
0,12,15,descending,225002106
11,12,4,ascending,7035
4,18,15,ascending,1629964
3,18,7,ascending,748460
6,21,21,ascending,42
5,18,18,ascending,2090754
2,18,20,descending,29
6,18,4,ascending,1592980
11,12,5,ascending,7005
7,18,22,ascending,1181365
9,18,19,ascending,188422
5,12,2,ascending,576824262
13,12,23,ascending,2120
4,12,9,ascending,1412838515
3,15,6,ascending,195096619
0,12,12,descending,222479694
4,15,22,descending,898992
2,15,18,ascending,149256142
5,15,5,descending,227968
1,15,2,descending,955978
2,18,2,ascending,104204
5,18,20,ascending,2097962
9,12,17,ascending,423862
9,18,6,ascending,180693
11,15,16,ascending,629
4,15,14,ascending,173806141
5,15,14,ascending,100982095
8,12,4,ascending,3071192
8,18,20,ascending,549027
1,12,4,ascending,1919361866
6,15,21,descending,41807
4,15,6,ascending,169581973
2,18,18,ascending,232603
6,15,6,descending,40193
6,15,2,descending,19216
8,12,7,ascending,2985489
7,15,8,descending,4297
3,18,4,ascending,691196
3,18,11,descending,78
2,15,20,descending,2804336
5,21,9,ascending,12
13,12,22,ascending,666
2,18,20,ascending,234197
9,15,14,descending,11
3,12,23,ascending,2510445981
10,18,17,ascending,48130
11,18,7,ascending,8936
14,18,14,ascending,9
4,12,0,ascending,1935179597
6,12,5,ascending,135136953
11,21,5,ascending,12
2,15,12,ascending,146639346
0,15,20,ascending,8155566
10,12,16,ascending,93466
1,12,18,descending,300272125
4,18,18,ascending,1653643
2,12,13,descending,161846901
11,21,9,ascending,11
4,21,12,ascending,1
4,15,10,ascending,171767938
1,18,18,ascending,20102
15,18,20,ascending,1
3,18,16,ascending,827881
12,15,7,ascending,1
1,12,22,ascending,1956001345
1,15,18,ascending,59669926
7,12,6,ascending,23335815
10,18,11,ascending,46764
