sets,hand_size,deals,hand_type,count
6,15,10,descending,40997
1,15,8,ascending,56953930
5,12,10,ascending,531009593
7,15,21,descending,4375
7,15,17,descending,4238
14,12,0,ascending,475
13,12,22,ascending,677
8,15,4,descending,250
13,18,23,ascending,23
0,15,19,descending,539536
0,15,11,descending,509860
2,18,5,descending,45
4,15,5,descending,824343
10,12,16,ascending,93500
3,12,18,descending,51254286
2,12,21,descending,164226413
5,15,14,ascending,101513450
7,21,20,ascending,95
9,21,14,ascending,59
2,12,23,ascending,2923619668
7,21,7,ascending,73
8,15,14,descending,287
11,15,14,ascending,624
13,21,5,ascending,3
2,15,11,descending,2690435
8,12,20,ascending,2802469
4,18,6,descending,90
2,18,21,descending,57
4,21,23,ascending,2
13,15,15,ascending,2
5,12,4,ascending,545922026
5,12,18,descending,843997
5,18,21,descending,66
3,21,18,ascending,1
11,18,5,ascending,8980
14,12,4,ascending,81
12,12,16,ascending,3132
6,12,4,ascending,136971404
6,15,7,descending,40611
5,15,15,ascending,101661499
11,12,1,ascending,11530
11,18,22,ascending,9226
9,18,10,ascending,183466
5,12,19,descending,843257
3,12,2,ascending,2628272294
7,18,2,ascending,537187
1,12,21,ascending,1965996983
9,18,5,ascending,178723
6,12,17,descending,35918
6,12,10,ascending,131919309
11,12,17,ascending,6202
9,15,15,ascending,241311
7,18,8,ascending,1122611
2,18,9,ascending,212113
13,18,8,ascending,117
7,18,19,ascending,1185251
10,12,1,ascending,165274
3,18,12,descending,82
1,15,21,ascending,60208711
7,12,2,descending,286
6,12,16,ascending,129165295
5,12,22,descending,843645
0,15,4,descending,449569
11,18,6,ascending,9074
8,21,17,ascending,78
14,18,6,ascending,7
3,18,2,ascending,377919
4,12,19,ascending,1400018991
9,12,17,ascending,425629
3,12,2,descending,38509628
4,18,15,ascending,1640826
6,12,5,ascending,135840507
4,18,21,ascending,1672929
10,12,11,ascending,96909
2,18,3,ascending,165041
0,12,19,descending,227798303
12,12,3,ascending,3810
11,12,11,ascending,6584
11,15,15,ascending,626
3,12,4,descending,49051191
1,18,16,ascending,19668
6,12,9,ascending,132721429
14,18,22,ascending,7
10,12,13,ascending,95139
4,21,22,ascending,1
10,12,3,ascending,109989
9,15,19,ascending,240737
2,12,15,ascending,2922964147
3,12,6,descending,50447822
3,15,6,ascending,196137515
1,15,9,descending,1978557
6,12,13,ascending,130147039
10,12,12,ascending,95933
0,12,12,descending,223642330
4,12,1,descending,4020231
13,12,23,ascending,2223
2,15,5,ascending,140868954
1,12,11,ascending,1953435918
6,18,20,ascending,1864209
10,15,16,ascending,15765
8,18,22,ascending,551033
10,15,5,ascending,16403
5,12,16,ascending,522874297
13,12,17,ascending,646
2,15,18,descending,2805334
1,15,14,descending,2081303
5,18,5,ascending,1875051
12,18,20,ascending,1242
6,18,14,descending,32
2,15,11,ascending,146639882
4,18,22,ascending,1676363
2,18,17,descending,47
6,21,15,ascending,47
4,18,4,descending,64
3,18,7,ascending,752291
5,21,22,ascending,13
0,15,20,descending,539682
13,21,18,ascending,1
2,18,9,descending,44
10,12,14,ascending,94242
1,18,8,ascending,17646
0,15,3,descending,389929
3,15,7,ascending,197048117
7,12,18,ascending,22092821
11,15,20,ascending,647
3,12,13,ascending,2544209790
6,18,4,descending,12
5,15,19,ascending,102003582
6,18,12,ascending,1807205
3,12,19,ascending,2538133891
0,15,21,ascending,8214253
8,18,23,ascending,557629
5,18,21,ascending,2111659
7,12,20,descending,410
7,21,16,ascending,89
5,18,4,descending,37
5,21,15,ascending,13
12,18,17,ascending,1188
3,15,2,descending,920532
13,12,8,ascending,777
6,21,21,ascending,50
5,12,12,descending,844270
0,12,5,ascending,511780622
4,15,11,descending,868660
3,12,7,ascending,2560411641
10,15,20,ascending,15895
13,18,7,ascending,123
2,12,17,ascending,2923291546
8,21,9,ascending,80
4,18,13,ascending,1617424
6,18,13,descending,25
9,21,5,ascending,59
1,12,18,ascending,1964683424
13,12,1,ascending,1425
7,18,3,descending,2
0,18,18,descending,1
7,15,19,ascending,11048545
2,12,6,descending,159518102
3,15,7,descending,1897239
2,18,12,descending,49
6,15,9,ascending,40324213
9,12,1,ascending,703211
4,21,15,ascending,3
4,21,18,ascending,2
9,21,13,ascending,54
10,21,11,ascending,30
12,21,14,ascending,3
12,21,11,ascending,4
11,18,15,ascending,8996
6,18,16,descending,24
3,21,15,ascending,1
2,15,7,descending,2580427
10,21,16,ascending,37
3,15,19,descending,2039864
8,15,10,ascending,2033116
5,21,10,ascending,9
7,15,23,ascending,11382358
7,12,12,ascending,22487955
8,18,10,descending,1
7,18,17,descending,6
3,12,1,ascending,2730854675
7,15,22,ascending,11059934
5,21,19,ascending,9
12,15,14,ascending,1
4,15,17,ascending,175550038
3,12,18,ascending,2538714646
4,12,3,ascending,1457183489
6,15,15,ascending,40509035
11,15,10,ascending,665
10,15,9,ascending,15966
14,21,12,ascending,1
6,12,3,descending,33295
7,18,10,descending,5
10,15,23,ascending,19667
11,12,22,ascending,5852
12,21,9,ascending,2
5,12,19,ascending,521491260
14,12,11,ascending,80
8,18,9,ascending,529537
0,12,2,descending,170366572
2,12,11,ascending,2920880817
2,12,13,ascending,2922258458
5,12,10,descending,843698
0,15,15,descending,529183
4,15,14,descending,884751
0,15,10,descending,504086
0,18,11,descending,2
4,21,8,ascending,2
13,21,22,ascending,1
3,15,11,descending,1964807
10,15,15,ascending,15967
8,21,7,ascending,65
9,21,21,ascending,65
7,21,11,ascending,88
6,15,17,descending,41854
2,15,4,ascending,138328195
12,18,9,ascending,1208
7,12,13,descending,394
6,21,18,ascending,39
1,12,16,ascending,1963091171
8,12,1,ascending,4367766
0,12,9,ascending,518704013
0,12,14,descending,225511367
3,12,12,descending,50902988
9,15,6,ascending,250317
6,12,10,descending,35969
7,12,17,descending,413
7,18,18,descending,1
2,15,19,descending,2811066
9,15,12,ascending,242549
1,12,20,descending,302375988
2,12,4,descending,155168840
4,18,23,ascending,1653017
7,12,9,ascending,22943594
10,18,23,ascending,48089
5,15,21,descending,248419
4,18,18,descending,106
6,15,7,ascending,40374556
6,18,23,ascending,1885229
10,12,6,ascending,102317
10,15,12,ascending,15914
6,12,15,descending,35825
2,15,6,descending,2557833
3,15,12,ascending,201812628
5,15,16,descending,245574
4,18,20,ascending,1669552
0,18,6,ascending,288
7,12,7,descending,388
2,18,11,descending,44
1,18,22,descending,11
9,15,18,ascending,240622
3,15,3,descending,1504994
5,12,18,ascending,521814259
7,15,13,ascending,11033976
1,12,12,descending,297862275
4,15,7,descending,846430
1,15,13,ascending,59061728
10,12,9,ascending,99082
1,12,17,ascending,1964004159
14,12,9,ascending,104
10,12,23,ascending,204385
0,12,21,ascending,528373228
7,12,15,ascending,22214320
4,12,19,descending,9004342
2,15,16,descending,2788258
7,15,19,descending,4232
5,15,23,ascending,100345463
4,15,14,ascending,174737541
5,18,7,descending,55
7,18,16,descending,2
5,21,7,ascending,18
9,15,18,descending,13
5,18,5,descending,46
0,15,19,ascending,8194231
2,12,1,ascending,2927772232
8,21,23,ascending,88
1,18,9,descending,14
11,21,8,ascending,11
4,21,20,ascending,2
9,15,21,descending,10
6,15,19,descending,41742
11,18,19,ascending,9197
9,18,8,ascending,182562
12,21,3,ascending,1
3,18,18,descending,85
7,18,5,ascending,1088170
2,12,15,descending,163391133
6,12,20,descending,35709
8,18,10,ascending,531664
9,18,18,ascending,187871
2,18,6,descending,56
2,18,21,ascending,234354
6,21,5,ascending,34
9,21,23,ascending,88
11,21,20,ascending,10
11,12,21,ascending,6043
13,12,9,ascending,760
10,21,9,ascending,33
8,12,18,ascending,2808353
3,15,4,ascending,190998836
2,18,22,ascending,235460
7,18,8,descending,4
8,18,5,descending,2
7,12,8,ascending,23121596
8,18,7,ascending,525017
4,18,8,ascending,1523878
1,18,18,ascending,20212
5,12,11,descending,844144
9,21,19,ascending,65
14,12,1,ascending,200
7,15,14,descending,4259
7,21,17,ascending,83
8,21,16,ascending,92
14,21,9,ascending,1
0,12,7,descending,217211676
3,12,9,descending,50655507
2,15,1,ascending,70289253
2,18,11,ascending,219439
9,12,22,ascending,422971
12,21,17,ascending,5
12,21,22,ascending,2
3,12,20,descending,51297107
12,18,13,ascending,1209
3,18,19,descending,94
13,15,19,ascending,1
4,18,17,descending,93
2,15,12,descending,2713999
6,15,2,descending,19365
4,12,22,descending,9002584
7,12,18,descending,385
13,12,14,ascending,674
3,18,10,descending,94
7,21,14,ascending,78
3,18,22,descending,95
7,15,21,ascending,11053785
1,15,6,descending,1914120
11,21,18,ascending,15
8,18,4,descending,1
3,18,13,descending,80
12,21,13,ascending,4
10,12,19,ascending,92799
14,12,10,ascending,99
4,15,15,ascending,175071469
0,15,8,ascending,7688495
0,12,13,ascending,524623226
5,18,20,ascending,2111578
4,12,14,descending,8976155
15,18,13,ascending,2
8,12,19,ascending,2804108
9,12,16,ascending,426805
5,15,19,descending,248068
2,12,2,descending,123035186
4,12,23,ascending,1465128134
7,18,9,descending,6
3,15,16,descending,2025079
1,12,23,ascending,1921167342
2,15,15,descending,2772737
9,15,7,descending,9
3,15,15,ascending,203669054
12,21,21,ascending,3
6,18,13,ascending,1819004
5,21,9,ascending,9
14,18,18,ascending,7
9,21,6,ascending,57
3,12,16,ascending,2540127654
0,15,12,descending,517340
3,18,4,ascending,694043
2,12,3,ascending,2920181708
12,12,9,ascending,3423
2,12,2,ascending,2928280011
13,12,13,ascending,697
6,12,18,descending,35902
5,15,2,descending,112528
4,18,16,descending,104
3,12,17,ascending,2539376284
1,12,14,descending,299723518
6,18,11,ascending,1790313
1,15,10,descending,2004634
2,18,18,ascending,232901
3,18,12,ascending,806566
6,12,20,ascending,128584496
7,18,21,ascending,1187658
1,12,17,descending,301468379
2,15,4,descending,2389432
6,12,4,descending,35804
13,18,2,ascending,59
0,12,18,descending,227534082
4,18,5,descending,76
9,15,19,descending,12
13,18,17,ascending,101
6,18,7,descending,19
5,12,1,ascending,652162235
5,15,15,descending,246298
4,15,3,descending,667245
2,12,17,descending,163787359
9,12,18,ascending,423991
0,15,4,ascending,7353873
12,18,4,ascending,1077
11,15,5,ascending,674
7,12,19,descending,464
6,18,12,descending,18
1,18,13,descending,11
3,12,14,ascending,2542552123
1,12,13,ascending,1958606277
2,15,9,ascending,144746940
4,18,8,descending,91
14,12,22,ascending,79
9,15,4,descending,8
10,21,23,ascending,31
13,15,23,ascending,29
14,18,9,ascending,17
4,18,14,ascending,1628395
0,18,22,ascending,387
11,21,9,ascending,12
7,15,12,descending,4302
9,21,3,ascending,27
0,12,6,ascending,513117149
2,12,20,descending,164159745
6,12,2,ascending,148497613
5,15,3,descending,185553
12,18,6,ascending,1189
7,18,10,ascending,1136322
8,15,4,ascending,2009258
7,18,12,descending,6
5,12,3,ascending,554544349
5,15,12,ascending,101167147
1,18,5,ascending,16717
3,12,22,descending,51341093
0,18,13,ascending,341
7,21,9,ascending,66
