sets,hand_size,deals,hand_type,count
1,18,6,descending,23
0,18,15,ascending,1006
2,18,5,descending,121
5,12,15,descending,2540441
1,18,11,ascending,56383
1,15,8,ascending,171294652
10,15,19,ascending,47872
12,18,18,ascending,3708
8,21,21,ascending,254
11,15,5,ascending,2041
5,21,21,ascending,40
3,18,13,descending,277
2,15,13,descending,8238794
1,15,22,ascending,181252487
6,15,1,ascending,55057192
7,15,16,descending,13153
10,15,10,ascending,48040
4,15,3,descending,2009717
2,12,9,descending,483786308
11,18,13,ascending,27181
2,18,10,ascending,649995
11,18,2,ascending,12521
13,18,20,ascending,379
6,12,23,ascending,355316868
1,12,4,ascending,5803172382
0,15,5,ascending,22483304
9,18,20,ascending,568670
5,15,3,descending,557085
2,12,11,descending,486774262
14,18,19,ascending,28
0,12,22,ascending,1589809740
2,15,22,ascending,452964608
0,12,11,descending,669183679
10,15,13,ascending,47595
0,12,3,ascending,1527006338
10,12,2,ascending,371917
2,18,14,ascending,682313
0,15,21,descending,1627160
6,15,19,descending,126706
7,12,13,descending,1266
13,12,22,ascending,2130
7,21,5,ascending,204
13,15,7,ascending,2
1,12,18,descending,907869777
0,15,6,ascending,22700683
13,18,10,ascending,358
6,15,16,descending,125466
11,18,16,ascending,27192
4,21,15,ascending,2
15,18,16,ascending,3
9,15,8,descending,34
3,15,22,descending,6164064
3,12,17,ascending,7637620549
6,12,11,descending,109579
0,12,3,descending,599787828
5,18,8,ascending,5865743
10,18,23,ascending,143360
10,15,23,ascending,59154
5,21,19,ascending,30
2,18,9,ascending,640874
5,15,9,ascending,302453481
9,12,14,ascending,1296319
9,15,3,descending,23
0,18,18,ascending,1049
10,18,17,ascending,143891
13,15,9,ascending,3
11,15,17,ascending,1886
7,18,11,ascending,3443173
11,18,20,ascending,27422
9,18,7,descending,3
5,12,9,ascending,1604138396
11,15,2,ascending,1484
9,15,5,descending,24
8,18,19,ascending,1654752
6,12,20,ascending,386785642
1,15,14,ascending,178442096
10,18,18,ascending,144523
7,12,14,descending,1308
3,21,10,ascending,1
3,12,20,ascending,7632645883
13,12,8,ascending,2259
4,12,2,descending,20381716
3,15,4,ascending,574467379
7,15,9,ascending,33265260
3,15,7,descending,5705457
13,15,14,ascending,4
7,15,23,ascending,34225499
1,12,5,ascending,5809576026
9,12,21,ascending,1274629
9,12,12,ascending,1310971
8,18,5,ascending,1542997
10,15,1,ascending,21212
1,12,14,ascending,5896569280
2,12,10,descending,485283170
2,15,18,descending,8436835
5,15,22,descending,745499
6,18,11,ascending,5385489
2,18,23,ascending,799006
2,18,8,ascending,627684
13,15,6,ascending,3
1,15,18,ascending,180418675
0,18,9,ascending,907
7,12,2,ascending,79417009
3,12,22,ascending,7630744300
7,12,19,ascending,66355103
6,21,10,ascending,121
1,15,2,ascending,135556981
8,15,20,descending,804
12,21,7,ascending,8
0,18,13,descending,1
4,12,20,descending,27074946
10,12,18,ascending,279903
4,15,15,descending,2679378
0,15,9,descending,1498811
1,12,8,descending,880193785
0,15,13,ascending,24135747
3,12,4,descending,147537181
1,12,5,descending,866486640
8,21,19,ascending,268
5,15,18,ascending,306596426
1,18,21,descending,25
7,12,5,ascending,71066291
7,18,17,descending,21
7,18,14,descending,10
5,12,20,ascending,1567581232
6,18,11,descending,70
11,12,13,ascending,19095
5,18,4,ascending,5367344
