sets,hand_size,deals,hand_type,count
7,15,6,ascending,32458846
7,12,10,descending,1221
9,15,14,descending,29
0,15,15,ascending,23654906
6,15,13,descending,120480
3,21,19,ascending,1
9,15,20,descending,20
2,12,23,ascending,8528813303
7,15,12,ascending,32189320
9,15,17,descending,26
4,12,12,ascending,4113045401
0,12,21,descending,665744836
3,12,2,descending,112325595
12,12,2,ascending,12656
13,21,12,ascending,6
6,15,20,descending,122935
10,18,6,ascending,136669
13,15,5,ascending,3
3,15,2,descending,2687125
7,21,4,ascending,184
14,12,15,ascending,255
7,12,2,descending,926
2,12,22,ascending,8529280936
5,21,17,ascending,25
1,15,20,ascending,175480557
14,12,0,ascending,1321
1,15,12,descending,5978126
7,12,1,ascending,93470405
3,18,22,descending,254
2,12,2,descending,358919178
1,15,23,ascending,172104731
5,18,3,ascending,4481496
8,18,15,ascending,1589307
7,18,8,ascending,3269344
1,15,20,descending,6224896
13,18,12,ascending,342
6,15,17,ascending,118300210
7,18,2,ascending,1568174
4,12,3,ascending,4250921627
1,15,17,descending,6173162
4,12,20,descending,26274017
2,15,10,ascending,425102244
10,12,9,ascending,289398
11,12,20,ascending,17922
8,12,19,ascending,8186283
6,15,11,descending,119920
6,15,12,descending,120663
2,12,15,descending,476596073
1,15,4,descending,5218564
13,12,23,ascending,6323
8,18,17,descending,3
4,18,3,descending,137
13,21,19,ascending,4
6,15,2,descending,56359
6,15,13,ascending,117942563
7,12,16,ascending,64657948
4,12,18,descending,26247826
6,15,18,descending,123102
11,12,13,ascending,18317
5,18,17,descending,185
9,18,21,ascending,551605
0,15,14,descending,1536541
2,15,23,ascending,442776519
4,12,0,ascending,5675188058
14,12,17,ascending,247
9,15,11,descending,19
4,18,20,ascending,4872356
8,18,16,descending,1
13,15,8,ascending,3
12,18,19,ascending,3604
15,18,16,ascending,5
7,12,11,ascending,65977054
6,15,6,ascending,117688155
8,21,21,ascending,238
11,18,10,ascending,26314
2,15,19,descending,8198744
9,18,8,ascending,533579
2,12,3,ascending,8518843455
4,12,22,ascending,4080560447
11,18,8,ascending,26319
8,21,6,ascending,197
6,15,7,ascending,117724043
0,12,23,ascending,1625325197
5,12,2,ascending,1691588572
7,18,23,ascending,3491802
2,18,23,ascending,772932
10,21,5,ascending,76
2,12,2,ascending,8542523062
1,12,5,descending,840416697
5,12,14,ascending,1530296843
