sets,hand_size,deals,hand_type,count
7,12,13,ascending,22371472
0,18,13,ascending,338
4,18,21,ascending,1672996
5,18,20,ascending,2108782
3,12,15,ascending,2539954936
4,12,2,descending,6771272
10,18,6,ascending,46896
12,18,15,ascending,1193
0,15,15,ascending,8105779
1,12,13,descending,298699394
2,12,0,ascending,2815921377
6,12,16,ascending,129098010
11,18,22,ascending,9193
9,15,15,descending,9
2,12,15,descending,163271356
3,18,9,ascending,774250
10,12,8,ascending,100015
7,15,4,descending,3999
4,12,16,descending,8985704
6,12,12,ascending,130566478
11,15,21,ascending,631
6,15,23,ascending,40199791
13,18,6,ascending,130
10,18,7,ascending,47104
8,15,12,descending,272
3,15,3,descending,1500699
11,15,23,ascending,2748
7,21,11,ascending,83
2,18,21,ascending,234728
13,21,9,ascending,1
13,15,4,ascending,3
4,18,15,descending,95
6,21,23,ascending,35
6,18,7,ascending,1730763
0,12,13,descending,224563652
2,15,19,ascending,150157936
6,12,10,descending,36136
12,12,17,ascending,3169
15,18,23,ascending,1
9,15,10,descending,7
0,18,18,ascending,320
7,12,17,descending,434
5,12,19,descending,843170
6,18,11,descending,13
1,18,20,ascending,20263
4,18,8,descending,100
7,12,19,descending,424
7,18,11,descending,5
10,18,2,ascending,22010
7,15,19,ascending,11044303
12,12,23,ascending,12208
9,18,2,ascending,85645
0,15,22,descending,540561
3,15,9,ascending,198851601
5,12,1,ascending,651784402
10,12,17,ascending,93298
2,15,18,ascending,149987556
2,18,7,ascending,205985
6,12,6,descending,36770
5,12,7,ascending,537901877
4,15,22,ascending,176037811
4,12,6,ascending,1431466657
8,15,4,ascending,2008747
11,18,3,ascending,7110
2,15,22,descending,2827043
7,15,3,descending,3375
11,12,18,ascending,6109
11,18,8,ascending,8958
9,18,3,ascending,143445
7,12,1,descending,188
13,18,12,ascending,128
6,12,20,descending,35677
14,18,10,ascending,10
4,12,2,ascending,1500741952
0,15,13,descending,522420
0,18,10,ascending,333
7,21,10,ascending,82
5,12,14,ascending,524313894
9,15,19,descending,7
6,12,9,ascending,132646573
7,15,14,ascending,11028335
11,18,5,ascending,8820
9,15,16,descending,6
8,18,19,descending,2
7,21,5,ascending,57
4,21,6,ascending,1
7,21,17,ascending,83
3,15,7,ascending,196918860
13,21,10,ascending,2
10,21,9,ascending,31
2,12,21,ascending,2922202127
0,12,20,ascending,527937511
0,15,15,descending,529954
4,18,11,ascending,1584955
3,15,19,ascending,204791273
7,15,4,ascending,10825897
6,15,5,descending,39682
4,18,15,ascending,1642040
7,18,8,ascending,1121701
3,18,6,ascending,743034
8,15,16,ascending,2026286
7,18,22,ascending,1188912
10,15,10,ascending,16388
8,15,21,descending,282
6,21,5,ascending,28
7,12,19,ascending,22053737
1,15,13,descending,2064359
1,12,10,descending,295179126
14,12,1,ascending,191
2,12,13,descending,162647305
11,15,22,ascending,643
4,12,1,descending,4018496
11,15,11,ascending,655
11,12,1,ascending,11842
6,15,14,ascending,40443310
7,12,21,descending,402
7,12,16,descending,422
5,15,11,descending,239748
8,18,15,descending,2
1,12,2,descending,226292056
4,12,8,descending,8959070
13,12,4,ascending,758
15,18,4,ascending,3
2,18,17,ascending,232331
4,18,6,ascending,1490885
2,12,14,descending,163004054
1,15,10,descending,2002020
0,18,14,ascending,316
12,12,1,ascending,6135
12,21,13,ascending,3
5,12,0,ascending,862024966
4,15,10,descending,864156
3,15,22,descending,2047247
1,15,15,descending,2096237
9,18,20,ascending,188543
12,18,17,ascending,1232
11,15,15,ascending,643
1,12,6,ascending,1933369180
6,12,23,ascending,118079411
6,15,2,ascending,30709834
7,12,20,ascending,22026011
3,12,21,ascending,2536059817
4,15,8,descending,849133
5,15,4,descending,218910
2,15,4,descending,2388260
1,12,0,ascending,1566188599
5,15,4,ascending,97421386
6,18,9,ascending,1759095
13,12,20,ascending,685
0,12,8,ascending,516530315
2,18,19,ascending,233587
4,12,13,descending,8966361
3,12,22,descending,51294919
3,18,5,ascending,726997
10,12,2,ascending,122360
12,18,7,ascending,1196
8,15,2,ascending,1545363
2,18,21,descending,55
11,21,17,ascending,14
