sets,hand_size,deals,hand_type,count
15,18,16,ascending,1
5,12,3,ascending,554420292
11,15,1,ascending,266
5,21,5,ascending,13
7,21,9,ascending,74
4,15,6,descending,840716
3,12,3,ascending,2586395283
3,15,20,descending,2041611
12,12,14,ascending,3129
10,12,4,ascending,105363
1,18,4,descending,7
4,21,17,ascending,3
14,18,20,ascending,10
5,15,9,ascending,100534833
9,21,12,ascending,40
1,18,20,descending,10
0,18,9,descending,1
13,15,9,ascending,3
4,12,11,descending,8957948
8,15,1,ascending,905359
10,12,16,ascending,93107
7,21,19,ascending,84
12,21,13,ascending,5
9,15,9,descending,7
9,15,20,descending,7
1,18,6,ascending,17061
11,18,6,ascending,9059
7,18,8,descending,3
7,18,12,ascending,1153573
3,12,9,ascending,2553688423
4,18,18,descending,88
6,12,18,descending,35933
1,12,0,ascending,1566605387
5,12,19,ascending,521357168
6,12,7,ascending,134333509
8,15,23,ascending,2184762
11,15,21,ascending,593
14,18,9,ascending,8
1,15,11,ascending,58322866
5,18,19,ascending,2106414
1,15,3,ascending,52052363
0,18,6,ascending,286
14,12,20,ascending,82
12,15,5,ascending,1
1,15,18,descending,2122297
1,15,1,ascending,28476541
5,21,6,ascending,7
1,15,6,descending,1913968
2,18,15,ascending,229802
2,12,11,descending,161802043
0,15,13,descending,522003
6,15,7,ascending,40354686
6,12,6,ascending,135106709
5,15,17,descending,246810
10,15,7,ascending,16535
8,21,10,ascending,82
4,12,2,descending,6774495
6,15,13,descending,41301
8,21,3,ascending,35
8,21,7,ascending,54
7,15,6,ascending,11126708
6,21,11,ascending,48
7,18,8,ascending,1121361
0,15,4,descending,448809
9,15,9,ascending,244421
5,12,23,ascending,489401693
0,15,2,descending,244536
0,15,15,ascending,8108534
10,18,17,ascending,48066
2,18,5,descending,40
0,18,22,descending,1
3,12,7,ascending,2559835998
0,15,10,ascending,7843412
2,12,15,ascending,2922320806
7,12,15,ascending,22214414
6,21,19,ascending,49
13,21,19,ascending,1
9,15,7,ascending,248120
5,18,12,ascending,2032582
2,15,8,descending,2606455
7,21,3,ascending,34
7,15,8,descending,4344
7,21,15,ascending,71
4,18,11,descending,98
14,18,16,ascending,9
8,18,23,ascending,557137
2,12,6,descending,159467243
7,15,15,descending,4356
1,12,6,ascending,1933927328
7,15,20,ascending,11045678
12,18,4,ascending,1137
6,12,0,ascending,251660993
6,12,5,ascending,135830968
2,15,23,ascending,151752200
13,15,16,ascending,2
12,15,22,ascending,2
1,18,13,descending,15
5,12,5,descending,846275
9,18,18,ascending,188549
3,15,12,descending,1980089
5,18,13,descending,70
3,15,13,ascending,202486285
6,18,5,ascending,1686941
1,12,13,ascending,1958179316
4,15,22,descending,903440
8,12,2,ascending,3480788
7,12,22,descending,428
5,12,20,ascending,521044123
3,12,20,ascending,2537074770
1,15,22,ascending,60234577
2,15,9,descending,2636626
7,12,12,ascending,22492720
7,15,2,ascending,8392318
4,15,10,descending,864157
9,18,11,ascending,184877
10,18,22,ascending,47623
5,21,16,ascending,17
8,12,0,ascending,7400658
5,15,8,descending,235957
13,15,7,ascending,2
12,15,20,ascending,1
0,12,3,descending,199377355
11,15,4,ascending,650
8,21,18,ascending,94
5,12,2,ascending,579740986
1,18,12,descending,13
8,18,7,ascending,525733
13,12,6,ascending,758
5,18,23,ascending,2109132
13,18,23,ascending,32
4,12,23,ascending,1464810949
2,15,16,ascending,149484724
14,12,19,ascending,94
8,21,6,ascending,65
1,15,10,ascending,57901169
7,21,20,ascending,82
9,18,17,ascending,188244
8,21,5,ascending,55
7,18,3,descending,4
7,15,19,ascending,11047002
2,18,3,descending,15
9,15,22,descending,9
0,18,14,ascending,317
6,15,3,ascending,36772073
9,12,3,ascending,490947
9,12,7,ascending,458821
7,15,13,descending,4409
3,15,15,descending,2016834
5,12,22,descending,842528
0,12,15,ascending,526148570
6,15,4,ascending,39261380
12,12,9,ascending,3317
2,15,8,ascending,143763427
6,12,7,descending,36565
2,12,14,ascending,2921885991
1,18,9,ascending,17970
7,15,9,ascending,11055768
3,12,11,ascending,2547998352
2,15,22,descending,2824749
11,12,22,ascending,6151
2,15,20,ascending,150359474
8,21,4,ascending,57
7,18,7,ascending,1112858
4,15,5,descending,826267
8,18,18,ascending,551414
9,15,13,descending,7
9,15,16,ascending,240305
4,18,10,ascending,1563889
0,18,12,descending,1
5,21,4,ascending,5
1,15,9,ascending,57413862
2,15,10,descending,2664981
13,12,4,ascending,799
14,12,4,ascending,111
15,18,18,ascending,1
12,15,10,ascending,1
2,12,8,ascending,2916748532
6,15,13,ascending,40414201
13,12,20,ascending,715
8,12,21,ascending,2797125
4,15,20,ascending,175950187
0,15,18,ascending,8178064
2,18,17,ascending,232284
7,12,17,descending,406
10,18,5,ascending,45947
13,12,1,ascending,1423
4,18,3,descending,51
7,15,20,descending,4483
4,18,15,descending,98
4,12,7,descending,8965901
9,18,2,ascending,87172
0,18,15,descending,1
15,18,10,ascending,4
2,18,12,descending,41
4,21,10,ascending,1
5,15,20,descending,247426
7,15,5,descending,4152
4,12,18,descending,8997555
13,18,4,ascending,107
12,12,11,ascending,3302
7,12,14,descending,416
5,15,12,ascending,101156219
0,18,4,ascending,262
2,15,19,ascending,150214833
9,21,14,ascending,66
1,15,14,descending,2084020
7,18,18,ascending,1181607
11,18,11,ascending,8908
0,12,18,ascending,527562685
14,12,11,ascending,86
11,15,9,ascending,603
13,21,10,ascending,1
0,12,18,descending,227487137
0,12,12,descending,223622161
5,12,7,descending,850074
4,12,17,ascending,1401155405
5,12,16,descending,843241
7,12,3,descending,396
8,12,4,ascending,3088082
7,15,3,descending,3452
1,15,9,descending,1976669
3,18,7,descending,75
4,12,12,ascending,1409578722
7,12,11,ascending,22615883
1,12,14,ascending,1960056202
9,12,21,ascending,422788
6,15,16,ascending,40507848
0,12,17,ascending,527183342
2,15,6,ascending,141958618
7,18,6,ascending,1109427
0,15,16,descending,532789
4,15,3,descending,668377
11,18,21,ascending,9155
13,12,9,ascending,715
1,15,7,ascending,56481146
1,12,16,descending,300964953
10,18,16,ascending,47643
5,12,11,descending,843338
7,12,12,descending,440
11,15,2,ascending,475
11,12,15,ascending,6229
4,15,3,ascending,156428597
6,15,6,descending,40205
2,12,0,ascending,2816644682
9,12,6,ascending,462357
4,15,5,ascending,169288484
6,12,1,ascending,173640713
