sets,hand_size,deals,hand_type,count
0,12,15,ascending,1575845034
8,12,6,ascending,9059771
3,15,9,ascending,595730767
4,12,1,ascending,4860853306
11,18,23,ascending,24051
4,21,9,ascending,2
13,15,21,ascending,4
8,21,5,ascending,192
13,21,12,ascending,4
1,12,15,ascending,5874733201
6,18,20,ascending,5582991
7,15,19,descending,13195
6,12,7,ascending,402341351
8,18,22,ascending,1651676
1,15,11,descending,6069970
1,15,16,ascending,178854374
4,12,0,ascending,5825265522
1,15,3,descending,4625798
0,15,2,descending,731323
0,12,9,descending,658235220
12,18,20,ascending,3703
10,21,20,ascending,117
13,21,22,ascending,2
1,18,18,descending,28
12,21,19,ascending,10
7,21,21,ascending,259
8,18,19,descending,6
3,12,20,descending,153625218
9,15,16,descending,23
13,12,5,ascending,2330
7,21,14,ascending,238
7,21,13,ascending,223
6,15,2,ascending,91996220
8,15,7,ascending,6170937
12,21,8,ascending,12
6,21,18,ascending,142
1,15,8,descending,5859152
4,15,12,ascending,520503316
2,12,23,ascending,8754398082
1,18,5,descending,28
4,21,13,ascending,2
4,18,18,ascending,4972370
6,21,5,ascending,92
10,15,7,ascending,49187
2,18,7,ascending,616369
14,21,11,ascending,2
13,18,19,ascending,371
11,21,21,ascending,49
13,21,23,ascending,2
15,18,17,ascending,5
9,15,7,ascending,742376
3,18,3,descending,109
6,15,19,ascending,121530322
1,18,21,descending,32
4,21,3,ascending,1
3,12,4,ascending,7701244866
7,12,19,ascending,66056521
1,12,13,descending,894934421
9,18,22,ascending,567081
6,18,12,ascending,5406780
1,15,3,ascending,155910712
4,21,7,ascending,3
9,18,21,ascending,565997
5,21,22,ascending,34
8,12,14,ascending,8513763
8,18,16,descending,3
4,12,3,ascending,4363357694
6,21,19,ascending,137
1,18,8,descending,28
4,21,6,ascending,2
6,12,6,descending,109978
14,12,0,ascending,1416
6,12,23,ascending,353752394
5,21,6,ascending,20
10,21,3,ascending,36
4,18,13,ascending,4844596
6,12,16,descending,107637
12,21,12,ascending,11
6,18,23,ascending,5642225
5,12,18,descending,2524598
1,15,17,ascending,179281200
8,12,12,ascending,8607489
4,12,13,descending,26870049
9,12,13,ascending,1299517
3,12,19,descending,153538727
12,12,8,ascending,10108
0,12,3,ascending,1520213070
3,15,23,ascending,623683448
5,12,4,descending,2474866
0,18,22,descending,2
2,18,16,ascending,692131
0,15,22,ascending,24615018
5,15,23,ascending,300471344
12,18,4,ascending,3371
5,12,7,descending,2543732
9,18,11,ascending,553440
6,12,15,descending,107723
6,21,17,ascending,146
1,15,2,ascending,134948873
3,18,14,descending,251
13,12,1,ascending,4222
4,15,1,ascending,241224571
5,15,17,descending,738842
4,21,16,ascending,3
6,18,8,ascending,5225067
1,18,2,ascending,26906
13,12,16,ascending,2043
13,18,3,ascending,266
3,15,14,descending,6005509
1,18,6,descending,26
0,15,5,descending,1412569
1,18,8,ascending,53240
4,18,8,ascending,4564114
1,15,13,ascending,176838948
12,15,9,ascending,2
9,18,13,ascending,557754
11,18,11,ascending,26940
2,12,22,descending,491962786
5,12,6,ascending,1618189301
9,15,5,descending,34
5,12,15,descending,2526827
11,12,6,ascending,20588
5,18,21,ascending,6328234
10,12,17,ascending,280612
7,21,12,ascending,252
4,18,16,ascending,4936808
13,12,6,ascending,2301
9,12,17,ascending,1276534
14,21,18,ascending,1
5,12,14,descending,2528402
3,18,21,ascending,2535651
5,12,13,descending,2527255
11,15,5,ascending,1952
4,12,10,ascending,4241282581
5,18,2,ascending,2841735
7,21,15,ascending,254
11,12,14,ascending,18705
7,21,20,ascending,274
12,15,10,ascending,2
4,12,19,ascending,4192183550
0,18,8,descending,2
13,12,18,ascending,1988
13,12,0,ascending,9753
3,18,20,descending,265
6,18,4,descending,52
12,15,7,ascending,2
6,15,7,ascending,120851493
8,18,17,ascending,1644820
13,12,9,ascending,2178
1,15,7,ascending,169150108
7,21,22,ascending,265
7,18,9,ascending,3380935
2,18,23,ascending,793662
6,18,5,ascending,5045445
6,18,3,ascending,4117036
12,12,2,ascending,12772
1,18,12,descending,35
4,18,4,descending,229
3,15,18,ascending,612917727
1,12,15,descending,899667977
8,21,14,ascending,246
11,12,1,ascending,35705
8,18,13,descending,4
3,12,21,ascending,7597645828
2,18,9,ascending,637827
3,18,19,descending,260
8,15,15,descending,771
12,18,15,ascending,3752
8,15,2,descending,383
8,12,23,ascending,14267766
14,12,2,ascending,337
14,18,2,ascending,8
6,18,7,descending,54
0,15,5,ascending,22383841
5,12,22,descending,2528262
12,12,0,ascending,39472
1,15,10,ascending,173399547
5,12,3,descending,2304962
8,18,18,ascending,1645491
12,12,9,ascending,9941
10,21,18,ascending,85
14,21,23,ascending,1
0,18,2,ascending,472
0,18,5,descending,2
4,21,18,ascending,1
7,12,1,ascending,95954751
0,18,10,ascending,949
2,12,12,descending,486022157
2,12,21,descending,491807860
13,21,18,ascending,3
14,21,13,ascending,1
8,21,17,ascending,270
14,18,3,ascending,20
9,18,18,ascending,565477
6,21,16,ascending,139
2,12,20,ascending,8754390128
0,18,19,ascending,1063
10,12,2,ascending,368392
5,15,20,ascending,305591396
4,18,7,descending,242
7,21,11,ascending,253
10,15,4,ascending,47714
4,12,9,ascending,4252980003
15,18,20,ascending,1
3,18,2,ascending,1133878
12,12,23,ascending,36807
1,15,9,ascending,171981586
4,12,20,descending,26959784
4,15,7,ascending,512108478
5,18,18,ascending,6294400
8,18,20,ascending,1647328
9,21,22,ascending,206
3,21,11,ascending,1
5,18,17,descending,177
6,18,3,descending,31
0,18,12,descending,3
4,12,4,descending,26078980
1,15,20,ascending,180126751
4,18,20,descending,333
4,12,18,descending,26943782
8,18,8,ascending,1577782
2,15,13,ascending,443463102
5,15,20,descending,741732
0,12,7,descending,650366228
2,15,19,descending,8424001
9,18,7,ascending,546894
5,18,10,descending,148
9,15,6,descending,31
8,15,15,ascending,6063390
3,15,19,ascending,613515033
9,12,10,ascending,1329487
14,12,4,ascending,279
5,18,11,descending,164
3,18,9,ascending,2316412
13,12,23,ascending,6524
12,18,7,ascending,3615
2,12,22,ascending,8754608511
5,15,22,descending,741412
7,12,18,descending,1286
4,21,12,ascending,3
14,12,8,ascending,315
8,15,3,descending,640
8,18,18,descending,3
3,21,4,ascending,1
1,18,10,ascending,55382
5,21,9,ascending,31
0,15,10,ascending,23479693
10,21,21,ascending,108
3,12,22,descending,153708724
1,15,21,ascending,180314607
9,18,23,ascending,562668
11,12,10,ascending,19514
13,18,8,ascending,344
3,18,6,descending,208
13,15,19,ascending,2
10,15,2,ascending,36421
6,15,15,ascending,121253832
10,12,9,ascending,297227
7,12,23,ascending,75164693
1,12,9,ascending,5828041811
5,12,5,descending,2533835
6,21,13,ascending,122
1,15,12,ascending,175872821
13,12,19,ascending,2045
12,21,18,ascending,11
6,18,4,ascending,4795106
6,12,3,descending,98958
7,18,12,descending,15
4,15,14,descending,2653333
2,15,11,descending,8056083
9,18,15,ascending,561728
11,15,21,ascending,1760
11,18,15,ascending,26792
15,18,19,ascending,2
6,21,15,ascending,151
12,21,14,ascending,10
6,12,8,ascending,399863466
2,15,9,descending,7885941
8,18,11,ascending,1601631
4,15,18,descending,2689993
12,12,20,ascending,9098
4,12,12,descending,26845954
11,21,10,ascending,38
4,21,5,ascending,2
7,12,2,descending,942
4,12,23,ascending,4387152871
10,15,6,ascending,49841
0,12,8,descending,654201224
12,15,8,ascending,1
